,Source,source_pathways
1,P09619,RTK(core)
7,P03372,"NHR(core),TGF(non-core)"
9,P06213,RTK(core)
12,Q9HC73,JAK/STAT(core)
15,Q99650,JAK/STAT(core)
36,P21860,RTK(core)
42,P04626,RTK(core)
47,P37173,"RTK(core),TGF(core)"
48,Q15303,"RTK(core),JAK/STAT(core)"
53,P36894,TGF(core)
69,Q15768,RTK(core)
71,P21860,RTK(core)
72,P04626,RTK(core)
74,Q04771,TGF(core)
78,P10912,JAK/STAT(core)
79,P10912,JAK/STAT(core)
86,Q13705,TGF(core)
95,Q14627,JAK/STAT(core)
97,P03372,"NHR(core),TGF(non-core)"
103,P16471,JAK/STAT(core)
129,P04629,RTK(core)
146,P36894,TGF(core)
150,P29323,RTK(core)
155,O00238,TGF(core)
156,O00238,TGF(core)
161,P54764,RTK(core)
163,P16234,RTK(core)
173,P35916,Notch(core)
179,P54764,RTK(core)
184,P16471,JAK/STAT(core)
186,P08069,RTK(core)
190,P14778,JAK/STAT(core)
197,P36894,TGF(core)
230,P54762,RTK(core)
244,P03372,"NHR(core),TGF(non-core)"
246,P46531,"Notch(core),WNT/Wingless(core)"
268,P48551,JAK/STAT(core)
270,P40189,JAK/STAT(core)
289,P46531,"Notch(core),WNT/Wingless(core)"
293,P10912,JAK/STAT(core)
295,P56975,RTK(core)
296,Q02297,RTK(core)
304,P08069,RTK(core)
310,P00533,"RTK(core),JAK/STAT(core)"
312,Q04771,TGF(core)
313,P37023,TGF(core)
315,O00238,TGF(core)
316,O00238,TGF(core)
346,P42701,JAK/STAT(core)
348,P01133,RTK(core)
350,Q99075,RTK(core)
351,Q8WWG1,RTK(core)
354,O14672,Notch(non-core)
358,Q04771,TGF(core)
360,Q13145,TGF(non-core)
361,Q13145,TGF(non-core)
379,Q99650,JAK/STAT(core)
382,Q9NR61,Notch(non-core)
383,Q9HC73,JAK/STAT(core)
389,P78504,Notch(non-core)
390,Q9Y219,Notch(core)
391,Q9Y219,Notch(core)
392,P78504,Notch(non-core)
393,Q9Y219,Notch(core)
394,Q9NYJ7,Notch(non-core)
395,P16871,JAK/STAT(core)
405,P08887,JAK/STAT(core)
427,O75197,WNT/Wingless(core)
431,P36896,TGF(core)
438,P08069,RTK(core)
440,P46531,"Notch(core),WNT/Wingless(core)"
444,P16471,JAK/STAT(core)
448,Q9NR61,Notch(non-core)
464,P98164,Hedgehog(non-core)
465,P08575,JAK/STAT(non-core)
467,Q5VWK5,JAK/STAT(core)
470,Q92542,Notch(core)
471,P15260,JAK/STAT(core)
472,P48551,JAK/STAT(core)
473,P15260,JAK/STAT(core)
480,P06213,RTK(core)
481,P06213,RTK(core)
489,P04626,RTK(core)
490,O14672,Notch(non-core)
500,Q9UHF4,JAK/STAT(core)
501,Q8N6P7,JAK/STAT(core)
502,Q9UHF4,JAK/STAT(core)
503,Q8N6P7,JAK/STAT(core)
504,P36897,"RTK(core),TGF(core)"
507,P36897,"RTK(core),TGF(core)"
509,Q13651,JAK/STAT(core)
510,Q13651,JAK/STAT(core)
518,P36897,"RTK(core),TGF(core)"
526,P17181,JAK/STAT(core)
527,P17181,JAK/STAT(core)
528,P38484,JAK/STAT(core)
530,Q92542,Notch(core)
531,Q96JA1,RTK(non-core)
532,P00533,"RTK(core),JAK/STAT(core)"
540,Q01974,"RTK(core),TGF(non-core),WNT/Wingless(non-core)"
542,P26951,JAK/STAT(core)
548,Q96JA1,RTK(non-core)
549,Q96JA1,RTK(non-core)
550,Q96JA1,RTK(non-core)
551,P42702,JAK/STAT(core)
559,O75581,WNT/Wingless(core)
560,P38484,JAK/STAT(core)
563,Q13705,TGF(core)
565,Q13705,TGF(core)
566,P37173,"RTK(core),TGF(core)"
567,Q13705,TGF(core)
568,Q13873,TGF(core)
569,Q13705,TGF(core)
570,Q13873,TGF(core)
578,Q13705,TGF(core)
589,Q9BWV1,Hedgehog(non-core)
592,Q15303,"RTK(core),JAK/STAT(core)"
619,P08069,RTK(core)
620,P36897,"RTK(core),TGF(core)"
623,Q13651,JAK/STAT(core)
624,Q9UHF4,JAK/STAT(core)
625,Q8N6P7,JAK/STAT(core)
626,P40189,JAK/STAT(core)
631,P78536,Notch(non-core)
634,Q9UM47,Notch(core)
642,P17181,JAK/STAT(core)
643,P48551,JAK/STAT(core)
644,P16871,JAK/STAT(core)
645,Q9HC73,JAK/STAT(core)
646,Q13261,JAK/STAT(core)
647,P26951,JAK/STAT(core)
648,P10912,JAK/STAT(core)
649,P16471,JAK/STAT(core)
650,P17181,JAK/STAT(core)
651,P48551,JAK/STAT(core)
652,P15260,JAK/STAT(core)
653,P38484,JAK/STAT(core)
655,Q8NFT8,Notch(non-core)
657,P46531,"Notch(core),WNT/Wingless(core)"
660,P46531,"Notch(core),WNT/Wingless(core)"
664,Q8NI17,JAK/STAT(core)
675,P36897,"RTK(core),TGF(core)"
677,P36897,"RTK(core),TGF(core)"
693,P09619,RTK(core)
698,P09619,RTK(core)
710,P17948,"RTK(non-core),JAK/STAT(core)"
712,P04629,RTK(core)
713,P04629,RTK(core)
714,P04629,RTK(core)
718,Q15768,RTK(core)
732,P52799,RTK(core)
733,P29320,RTK(core)
734,P54764,RTK(core)
735,P29376,RTK(core)
736,P29376,RTK(core)
737,P29376,RTK(core)
741,Q02763,RTK(core)
748,Q06418,RTK(core)
749,P07949,RTK(core)
757,P08069,RTK(core)
758,P11362,RTK(core)
762,P21860,RTK(core)
763,P04626,RTK(core)
764,P10586,RTK(non-core)
765,P03372,"NHR(core),TGF(non-core)"
766,P00533,"RTK(core),JAK/STAT(core)"
782,P03372,"NHR(core),TGF(non-core)"
783,P03372,"NHR(core),TGF(non-core)"
788,P03372,"NHR(core),TGF(non-core)"
807,P03372,"NHR(core),TGF(non-core)"
813,P03372,"NHR(core),TGF(non-core)"
816,P03372,"NHR(core),TGF(non-core)"
817,P03372,"NHR(core),TGF(non-core)"
819,P03372,"NHR(core),TGF(non-core)"
832,O00548,Notch(core)
842,P40189,JAK/STAT(core)
845,P16471,JAK/STAT(core)
846,O00238,TGF(core)
848,P16234,RTK(core)
851,P10721,"RTK(core),JAK/STAT(core)"
852,P10912,JAK/STAT(core)
853,P78536,Notch(non-core)
857,P35968,RTK(core)
865,P00533,"RTK(core),JAK/STAT(core)"
867,P15260,JAK/STAT(core)
875,P00533,"RTK(core),JAK/STAT(core)"
879,Q13705,TGF(core)
881,P08581,RTK(core)
890,Q5VWK5,JAK/STAT(core)
891,P03372,"NHR(core),TGF(non-core)"
897,P00533,"RTK(core),JAK/STAT(core)"
906,P10721,"RTK(core),JAK/STAT(core)"
915,Q13261,JAK/STAT(core)
917,P00533,"RTK(core),JAK/STAT(core)"
932,P08575,JAK/STAT(non-core)
933,P36894,TGF(core)
934,P00533,"RTK(core),JAK/STAT(core)"
937,P36897,"RTK(core),TGF(core)"
940,P11362,RTK(core)
941,P04629,RTK(core)
946,Q9UHF4,JAK/STAT(core)
948,Q04771,TGF(core)
966,P04626,RTK(core)
971,P10747,
977,P10721,"RTK(core),JAK/STAT(core)"
995,O75197,WNT/Wingless(core)
1004,P42702,JAK/STAT(core)
1023,P06213,RTK(core)
1026,P03372,"NHR(core),TGF(non-core)"
1032,P30530,RTK(core)
1038,P78504,Notch(non-core)
1039,O14763,
1043,P08069,RTK(core)
1044,P00533,"RTK(core),JAK/STAT(core)"
1066,O00548,Notch(core)
1077,P00533,"RTK(core),JAK/STAT(core)"
1085,P09619,RTK(core)
1088,P11912,
1089,P00533,"RTK(core),JAK/STAT(core)"
1092,Q9HC73,JAK/STAT(core)
1099,P08069,RTK(core)
1101,P29320,RTK(core)
1104,Q5VWK5,JAK/STAT(core)
1118,P10747,
1143,P40189,JAK/STAT(core)
1155,P54753,RTK(core)
1165,Q15303,"RTK(core),JAK/STAT(core)"
1178,P03372,"NHR(core),TGF(non-core)"
1188,P54753,RTK(core)
1203,Q12866,RTK(core)
1212,Q13873,TGF(core)
1214,Q5VWK5,JAK/STAT(core)
1231,P23468,
1236,O00548,Notch(core)
1249,P46531,"Notch(core),WNT/Wingless(core)"
1265,Q15375,RTK(core)
1271,P30530,RTK(core)
1276,P00533,"RTK(core),JAK/STAT(core)"
1294,Q9Y219,Notch(core)
1317,P10721,"RTK(core),JAK/STAT(core)"
1330,Q15768,RTK(core)
1344,Q13651,JAK/STAT(core)
1347,P05107,
1362,P03372,"NHR(core),TGF(non-core)"
1364,P09619,RTK(core)
1366,Q13873,TGF(core)
1369,P07766,
1379,P03372,"NHR(core),TGF(non-core)"
1401,P04629,RTK(core)
1411,P26951,JAK/STAT(core)
1418,Q8WWG1,RTK(core)
1438,P35968,RTK(core)
1439,P00533,"RTK(core),JAK/STAT(core)"
1441,P00533,"RTK(core),JAK/STAT(core)"
1442,P29317,RTK(core)
1449,P03372,"NHR(core),TGF(non-core)"
1462,P03372,"NHR(core),TGF(non-core)"
1469,P37173,"RTK(core),TGF(core)"
1478,P07333,JAK/STAT(core)
1481,P04629,RTK(core)
1489,P36896,TGF(core)
1500,P07766,
1504,P03372,"NHR(core),TGF(non-core)"
1508,P78504,Notch(non-core)
1509,P10912,JAK/STAT(core)
1512,P10912,JAK/STAT(core)
1525,P35968,RTK(core)
1533,P08069,RTK(core)
1539,P54764,RTK(core)
1543,P00533,"RTK(core),JAK/STAT(core)"
1546,P78504,Notch(non-core)
1562,Q13873,TGF(core)
1565,P04629,RTK(core)
1589,Q13873,TGF(core)
1592,P54764,RTK(core)
1594,O00238,TGF(core)
1605,P17948,"RTK(non-core),JAK/STAT(core)"
1612,Q15303,"RTK(core),JAK/STAT(core)"
1626,P26951,JAK/STAT(core)
1628,P00533,"RTK(core),JAK/STAT(core)"
1640,P46531,"Notch(core),WNT/Wingless(core)"
1642,P46531,"Notch(core),WNT/Wingless(core)"
1643,P21802,RTK(core)
1647,P42701,JAK/STAT(core)
1648,P35916,Notch(core)
