positionID,Entry,Entry name,Status,Protein names,Organism,Length,Gene name,High,Low,Medium,Not detected
P12821[30-1256],P12821,ACE_HUMAN,reviewed,"Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]",Homo sapiens (Human),1306,ACE,"glandular cells, glandular cells, glandular cells, glandular cells, cells in tubules, glandular cells",endothelial cells,"glandular cells, pneumocytes, cells in seminiferous ducts, glandular cells, glandular cells","fibroblasts, glandular cells, peripheral nerve/ganglion, cells in endometrial stroma, cells in endometrial stroma, glandular cells, myocytes, glial cells, neuronal cells, cells in glomeruli, squamous epithelial cells, bile duct cells, squamous epithelial cells, neuropil, glandular cells, glandular cells, lymphoid tissue, hematopoietic cells, adipocytes, glandular cells, myoepithelial cells, glandular cells, respiratory epithelial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuronal cells, glial cells, adipocytes, hepatocytes, epidermal cells, smooth muscle cells, peripheral nerve, fibroblasts, peripheral nerve, cells in red pulp, melanocytes, cells in white pulp, glandular cells, Leydig cells, glandular cells, germinal center cells, non-germinal center cells, squamous epithelial cells, glandular cells, macrophages, Langerhans, fibroblasts, germinal center cells, non-germinal center cells, respiratory epithelial cells, squamous epithelial cells, follicle cells, ovarian stroma cells, exocrine glandular cells, keratinocytes, islets of Langerhans, decidual cells, trophoblastic cells, glandular cells, glandular cells, myocytes, glandular cells, urothelial cells, squamous epithelial cells"
Q9BYF1[18-740],Q9BYF1,ACE2_HUMAN,reviewed,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2],Homo sapiens (Human),805,ACE2,"glandular cells, Leydig cells, cells in seminiferous ducts, glandular cells, cells in tubules, glandular cells","glandular cells, glandular cells, glandular cells, glandular cells",,"adipocytes, smooth muscle cells, epidermal cells, melanocytes, Langerhans, keratinocytes, fibroblasts, chondrocytes, myocytes, glandular cells, glandular cells, trophoblastic cells, decidual cells, glandular cells, islets of Langerhans, fibroblasts, fibroblasts, peripheral nerve, lymphoid tissue, hematopoietic cells, glandular cells, adipocytes, squamous epithelial cells, urothelial cells, squamous epithelial cells, non-germinal center cells, germinal center cells, glandular cells, glandular cells, glandular cells, cells in white pulp, cells in red pulp, exocrine glandular cells, ovarian stroma cells, peripheral nerve, squamous epithelial cells, peripheral nerve/ganglion, endothelial cells, squamous epithelial cells, glandular cells, neuropil, glial cells, endothelial cells, Purkinje cells, cells in molecular layer, cells in granular layer, neuronal cells, glial cells, respiratory epithelial cells, follicle cells, glandular cells, myoepithelial cells, cells in endometrial stroma, neuronal cells, glandular cells, non-germinal center cells, respiratory epithelial cells, germinal center cells, pneumocytes, macrophages, hepatocytes, cells in glomeruli, neuronal cells, bile duct cells, myocytes, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cells in endometrial stroma, glial cells"
Q04771[21-123],Q04771,ACVR1_HUMAN,reviewed,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I),Homo sapiens (Human),509,ACVR1,"glandular cells, smooth muscle cells","squamous epithelial cells, glial cells, pneumocytes, hepatocytes, macrophages, non-germinal center cells, germinal center cells, glandular cells, neuronal cells, glandular cells, peripheral nerve/ganglion, respiratory epithelial cells, adipocytes, glandular cells, adipocytes, glial cells, cells in granular layer, endothelial cells, glial cells, neuronal cells, endothelial cells, glandular cells, glandular cells, squamous epithelial cells, Purkinje cells, exocrine glandular cells, ovarian stroma cells, urothelial cells, squamous epithelial cells, non-germinal center cells, germinal center cells, Leydig cells, glandular cells, glandular cells, cells in red pulp, fibroblasts, fibroblasts, islets of Langerhans, glandular cells, glandular cells, glandular cells, keratinocytes, epidermal cells, glandular cells","myocytes, glandular cells, glandular cells, glandular cells, cells in glomeruli, cells in tubules, glandular cells, myoepithelial cells, respiratory epithelial cells, cells in seminiferous ducts, myocytes, decidual cells, trophoblastic cells, fibroblasts, melanocytes","cells in endometrial stroma, glandular cells, bile duct cells, cells in endometrial stroma, lymphoid tissue, hematopoietic cells, cells in molecular layer, neuropil, squamous epithelial cells, squamous epithelial cells, cells in white pulp, Langerhans, glandular cells"
D3DPA4[1-145],D3DPA4,D3DPA4_HUMAN,unreviewed,Serine/threonine-protein kinase receptor (EC 2.7.11.30) (Fragment),Homo sapiens (Human),509,ACVR1,"glandular cells, smooth muscle cells","squamous epithelial cells, glial cells, pneumocytes, hepatocytes, macrophages, non-germinal center cells, germinal center cells, glandular cells, neuronal cells, glandular cells, peripheral nerve/ganglion, respiratory epithelial cells, adipocytes, glandular cells, adipocytes, glial cells, cells in granular layer, endothelial cells, glial cells, neuronal cells, endothelial cells, glandular cells, glandular cells, squamous epithelial cells, Purkinje cells, exocrine glandular cells, ovarian stroma cells, urothelial cells, squamous epithelial cells, non-germinal center cells, germinal center cells, Leydig cells, glandular cells, glandular cells, cells in red pulp, fibroblasts, fibroblasts, islets of Langerhans, glandular cells, glandular cells, glandular cells, keratinocytes, epidermal cells, glandular cells","myocytes, glandular cells, glandular cells, glandular cells, cells in glomeruli, cells in tubules, glandular cells, myoepithelial cells, respiratory epithelial cells, cells in seminiferous ducts, myocytes, decidual cells, trophoblastic cells, fibroblasts, melanocytes","cells in endometrial stroma, glandular cells, bile duct cells, cells in endometrial stroma, lymphoid tissue, hematopoietic cells, cells in molecular layer, neuropil, squamous epithelial cells, squamous epithelial cells, cells in white pulp, Langerhans, glandular cells"
P36896[24-126],P36896,ACV1B_HUMAN,reviewed,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),Homo sapiens (Human),505,ACVR1B,,"glandular cells, decidual cells, squamous epithelial cells, glandular cells, Leydig cells, Purkinje cells, pneumocytes, cells in tubules","exocrine glandular cells, glandular cells, glandular cells, glandular cells, glandular cells, urothelial cells, glandular cells, adipocytes, respiratory epithelial cells, respiratory epithelial cells, glandular cells, glandular cells, macrophages, hepatocytes, glandular cells","melanocytes, Langerhans, keratinocytes, fibroblasts, myocytes, glandular cells, islets of Langerhans, glandular cells, trophoblastic cells, glandular cells, epidermal cells, ovarian stroma cells, fibroblasts, adipocytes, glandular cells, squamous epithelial cells, germinal center cells, cells in seminiferous ducts, follicle cells, cells in white pulp, peripheral nerve, fibroblasts, smooth muscle cells, squamous epithelial cells, non-germinal center cells, non-germinal center cells, glandular cells, neuropil, neuronal cells, lymphoid tissue, hematopoietic cells, glandular cells, myoepithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, endothelial cells, glial cells, squamous epithelial cells, endothelial cells, cells in red pulp, germinal center cells, bile duct cells, cells in glomeruli, neuronal cells, myocytes, glandular cells, squamous epithelial cells, glandular cells, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glial cells"
Q8NER5[22-113],Q8NER5,ACV1C_HUMAN,reviewed,Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7),Homo sapiens (Human),493,ACVR1C,"glandular cells, cells in tubules, glandular cells, cells in glomeruli, glandular cells, glandular cells, glandular cells, neuronal cells, glandular cells, cells in seminiferous ducts, Leydig cells, germinal center cells, glandular cells, islets of Langerhans, macrophages, glandular cells, myocytes, trophoblastic cells","glial cells, hematopoietic cells, adipocytes, cells in endometrial stroma, endothelial cells, squamous epithelial cells, cells in endometrial stroma, cells in red pulp, cells in white pulp, squamous epithelial cells, epidermal cells, melanocytes, ovarian stroma cells, keratinocytes","myoepithelial cells, cells in molecular layer, cells in granular layer, neuronal cells, respiratory epithelial cells, lymphoid tissue, glandular cells, adipocytes, Purkinje cells, glial cells, myocytes, glandular cells, squamous epithelial cells, glandular cells, glandular cells, glandular cells, bile duct cells, endothelial cells, glial cells, neuropil, hepatocytes, glandular cells, pneumocytes, fibroblasts, fibroblasts, peripheral nerve, glandular cells, glandular cells, non-germinal center cells, squamous epithelial cells, urothelial cells, smooth muscle cells, germinal center cells, non-germinal center cells, respiratory epithelial cells, squamous epithelial cells, exocrine glandular cells, decidual cells, glandular cells, glandular cells, glandular cells, fibroblasts, neuronal cells",Langerhans
P27037[20-135],P27037,AVR2A_HUMAN,reviewed,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA),Homo sapiens (Human),513,ACVR2A,"glandular cells, glandular cells, trophoblastic cells, exocrine glandular cells, respiratory epithelial cells, macrophages, hepatocytes, non-germinal center cells, cells in seminiferous ducts, glandular cells, glandular cells, cells in tubules, neuronal cells, Purkinje cells, glandular cells, neuronal cells, glandular cells, glandular cells","bile duct cells, glial cells, cells in granular layer, glandular cells, glial cells, cells in endometrial stroma, cells in endometrial stroma, squamous epithelial cells","keratinocytes, myocytes, glandular cells, glandular cells, glandular cells, ovarian stroma cells, non-germinal center cells, germinal center cells, pneumocytes, fibroblasts, Langerhans, epidermal cells, squamous epithelial cells, urothelial cells, squamous epithelial cells, germinal center cells, glandular cells, Leydig cells, cells in white pulp, cells in red pulp, peripheral nerve, fibroblasts, smooth muscle cells, melanocytes, squamous epithelial cells, endothelial cells, cells in molecular layer, cells in glomeruli, glial cells, respiratory epithelial cells, myoepithelial cells, glandular cells, adipocytes, hematopoietic cells, glandular cells, adipocytes, neuropil, neuronal cells, myocytes, glandular cells, squamous epithelial cells, glandular cells, glandular cells, peripheral nerve/ganglion, glandular cells, endothelial cells, glandular cells",
Q13705[19-137],Q13705,AVR2B_HUMAN,reviewed,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),Homo sapiens (Human),512,ACVR2B,chondrocytes,"endothelial cells, glandular cells, peripheral nerve/ganglion, glandular cells, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cells in glomeruli, cells in tubules, squamous epithelial cells, glandular cells, myocytes, glandular cells, hematopoietic cells, glandular cells, smooth muscle cells, fibroblasts, fibroblasts, glandular cells, glandular cells, urothelial cells, squamous epithelial cells, epidermal cells, glandular cells, squamous epithelial cells, follicle cells, islets of Langerhans, exocrine glandular cells, glandular cells, glandular cells, fibroblasts","glandular cells, respiratory epithelial cells, cells in seminiferous ducts, glandular cells, respiratory epithelial cells, glandular cells, decidual cells, trophoblastic cells","cells in endometrial stroma, cells in endometrial stroma, bile duct cells, glial cells, neuronal cells, glandular cells, neuronal cells, adipocytes, hepatocytes, lymphoid tissue, adipocytes, myoepithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuropil, macrophages, myocytes, germinal center cells, cells in red pulp, cells in white pulp, germinal center cells, non-germinal center cells, squamous epithelial cells, pneumocytes, Leydig cells, Langerhans, non-germinal center cells, melanocytes, ovarian stroma cells, glandular cells, glandular cells, keratinocytes"
P37023[22-118],P37023,ACVL1_HUMAN,reviewed,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),Homo sapiens (Human),503,ACVRL1,"glandular cells, neuronal cells, cells in tubules, glandular cells, neuronal cells, cells in granular layer, neuronal cells, glandular cells","glandular cells, glial cells, glandular cells, endothelial cells, glandular cells, glandular cells, lymphoid tissue, hematopoietic cells, endothelial cells, respiratory epithelial cells, squamous epithelial cells, Leydig cells, chondrocytes, glandular cells, islets of Langerhans, decidual cells, Langerhans","macrophages, cells in molecular layer, Purkinje cells, neuropil, germinal center cells, non-germinal center cells, non-germinal center cells, germinal center cells, glandular cells, smooth muscle cells, cells in seminiferous ducts, melanocytes, glandular cells","squamous epithelial cells, peripheral nerve/ganglion, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, hepatocytes, myocytes, cells in glomeruli, bile duct cells, glandular cells, pneumocytes, glandular cells, adipocytes, adipocytes, glandular cells, myoepithelial cells, respiratory epithelial cells, glial cells, glial cells, squamous epithelial cells, glandular cells, fibroblasts, peripheral nerve, chondrocytes, fibroblasts, peripheral nerve, cells in red pulp, cells in white pulp, squamous epithelial cells, urothelial cells, epidermal cells, trophoblastic cells, glandular cells, exocrine glandular cells, ovarian stroma cells, squamous epithelial cells, glandular cells, glandular cells, myocytes, fibroblasts, keratinocytes"
O14672[20-672],O14672,ADA10_HUMAN,reviewed,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),Homo sapiens (Human),748,ADAM10,,"glandular cells, decidual cells, squamous epithelial cells, respiratory epithelial cells, keratinocytes, Langerhans, glandular cells, cells in seminiferous ducts, melanocytes, glandular cells, pneumocytes, glandular cells, endothelial cells, glandular cells, glandular cells, adipocytes, myoepithelial cells, glandular cells, glandular cells, bile duct cells, cells in tubules, cells in glomeruli, neuronal cells, glandular cells, glandular cells, glandular cells, glandular cells, respiratory epithelial cells","fibroblasts, glandular cells, glandular cells, glandular cells, glandular cells, macrophages, urothelial cells","myocytes, glandular cells, trophoblastic cells, ovarian stroma cells, islets of Langerhans, exocrine glandular cells, follicle cells, non-germinal center cells, glandular cells, peripheral nerve, epidermal cells, non-germinal center cells, germinal center cells, Leydig cells, cells in white pulp, germinal center cells, fibroblasts, peripheral nerve, fibroblasts, chondrocytes, smooth muscle cells, cells in red pulp, hepatocytes, neuronal cells, glial cells, Purkinje cells, cells in molecular layer, cells in granular layer, neuronal cells, neuropil, glial cells, adipocytes, hematopoietic cells, lymphoid tissue, glandular cells, glial cells, myocytes, endothelial cells, cells in endometrial stroma, cells in endometrial stroma, glandular cells, peripheral nerve/ganglion, squamous epithelial cells, squamous epithelial cells"
