Entry,Region,Start,End,domain name
O75581,Repeat,63,106,LDL-receptor class B 1
O75581,Repeat,107,149,LDL-receptor class B 2
O75581,Repeat,150,193,LDL-receptor class B 3
O75581,Repeat,194,236,LDL-receptor class B 4
O75581,Repeat,237,276,LDL-receptor class B 5
O75581,Domain,282,324,EGF-like 1
O75581,Repeat,372,414,LDL-receptor class B 6
O75581,Repeat,415,457,LDL-receptor class B 7
O75581,Repeat,458,501,LDL-receptor class B 8
O75581,Repeat,502,542,LDL-receptor class B 9
O75581,Repeat,543,584,LDL-receptor class B 10
O75581,Domain,588,628,EGF-like 2
O75581,Repeat,674,716,LDL-receptor class B 11
O75581,Repeat,717,759,LDL-receptor class B 12
O75581,Repeat,760,802,LDL-receptor class B 13
O75581,Repeat,803,842,LDL-receptor class B 14
O75581,Repeat,843,885,LDL-receptor class B 15
O75581,Domain,889,930,EGF-like 3
O75581,Repeat,977,1025,LDL-receptor class B 16
O75581,Repeat,1026,1068,LDL-receptor class B 17
O75581,Repeat,1069,1113,LDL-receptor class B 18
O75581,Repeat,1114,1156,LDL-receptor class B 19
O75581,Repeat,1157,1198,LDL-receptor class B 20
O75581,Domain,1203,1244,EGF-like 4
O75581,Domain,1248,1286,LDL-receptor class A 1
O75581,Domain,1287,1323,LDL-receptor class A 2
O75581,Domain,1325,1361,LDL-receptor class A 3
P13688,Domain,35,142,Ig-like V-type
P13688,Domain,145,232,Ig-like C2-type 1
P13688,Domain,237,317,Ig-like C2-type 2
P13688,Domain,323,413,Ig-like C2-type 3
P19022,Domain,160,267,Cadherin 1
P19022,Domain,268,382,Cadherin 2
P19022,Domain,383,497,Cadherin 3
P19022,Domain,498,603,Cadherin 4
P19022,Domain,604,714,Cadherin 5
P00533,Repeat,75,300,Approximate
P00533,Repeat,390,600,Approximate
P00533,Domain,712,979,Protein kinase
P35613,Domain,37,120,Ig-like
P35613,Domain,138,219,Ig-like C2-type
P35613,Domain,221,315,Ig-like V-type
P12830,Domain,155,262,Cadherin 1
P12830,Domain,263,375,Cadherin 2
P12830,Domain,376,486,Cadherin 3
P12830,Domain,487,593,Cadherin 4
P12830,Domain,594,697,Cadherin 5
P78310,Domain,20,134,Ig-like C2-type 1
P78310,Domain,141,228,Ig-like C2-type 2
Q13873,Domain,203,504,Protein kinase
P04626,Domain,720,987,Protein kinase
Q02413,Domain,50,158,Cadherin 1
Q02413,Domain,159,270,Cadherin 2
Q02413,Domain,271,385,Cadherin 3
Q02413,Domain,386,497,Cadherin 4
Q02413,Repeat,813,839,Desmoglein repeat 1
Q02413,Repeat,840,869,Desmoglein repeat 2
Q02413,Repeat,870,899,Desmoglein repeat 3
Q02413,Repeat,900,927,Desmoglein repeat 4
Q02413,Repeat,928,956,Desmoglein repeat 5
Q13586,Domain,63,98,EF-hand
Q13586,Domain,132,200,SAM
P04629,Repeat,90,113,LRR 1
P04629,Repeat,116,137,LRR 2
P04629,Domain,148,193,LRRCT
P04629,Domain,194,283,Ig-like C2-type 1
P04629,Domain,299,365,Ig-like C2-type 2
P04629,Domain,510,781,Protein kinase
P08575,Domain,391,483,Fibronectin type-III 1
P08575,Domain,484,576,Fibronectin type-III 2
P08575,Domain,653,912,Tyrosine-protein phosphatase 1
P08575,Domain,944,1228,Tyrosine-protein phosphatase 2
P05556,Domain,140,378,VWFA
P05556,Repeat,466,515,I
P05556,Repeat,516,559,II
P05556,Repeat,560,598,III
P05556,Repeat,599,635,IV
P07949,Domain,168,272,Cadherin
P07949,Domain,724,1016,Protein kinase
Q9BY67,Domain,45,139,Ig-like V-type
Q9BY67,Domain,144,238,Ig-like C2-type 1
Q9BY67,Domain,243,329,Ig-like C2-type 2
P21860,Domain,709,966,Protein kinase
Q14118,Domain,603,712,Peptidase S72
Q9NZC2,Domain,29,112,Ig-like V-type
Q02763,Domain,44,123,Ig-like C2-type 1
Q02763,Domain,210,252,EGF-like 1
Q02763,Domain,254,299,EGF-like 2
Q02763,Domain,301,341,EGF-like 3
Q02763,Domain,350,440,Ig-like C2-type 2
Q02763,Domain,447,541,Fibronectin type-III 1
Q02763,Domain,545,636,Fibronectin type-III 2
Q02763,Domain,641,735,Fibronectin type-III 3
Q02763,Domain,824,1096,Protein kinase
Q96JQ0,Domain,43,143,Cadherin 1
Q96JQ0,Domain,144,255,Cadherin 2
Q96JQ0,Domain,256,362,Cadherin 3
Q96JQ0,Domain,367,472,Cadherin 4
Q96JQ0,Domain,474,578,Cadherin 5
Q96JQ0,Domain,579,685,Cadherin 6
Q96JQ0,Domain,686,790,Cadherin 7
Q96JQ0,Domain,791,894,Cadherin 8
Q96JQ0,Domain,895,1000,Cadherin 9
Q96JQ0,Domain,1001,1111,Cadherin 10
Q96JQ0,Domain,1112,1211,Cadherin 11
Q96JQ0,Domain,1218,1324,Cadherin 12
Q96JQ0,Domain,1333,1436,Cadherin 13
Q96JQ0,Domain,1437,1546,Cadherin 14
Q96JQ0,Domain,1547,1649,Cadherin 15
Q96JQ0,Domain,1650,1751,Cadherin 16
Q96JQ0,Domain,1752,1855,Cadherin 17
Q96JQ0,Domain,1856,1960,Cadherin 18
Q96JQ0,Domain,1965,2068,Cadherin 19
Q96JQ0,Domain,2069,2171,Cadherin 20
Q96JQ0,Domain,2172,2277,Cadherin 21
Q96JQ0,Domain,2278,2376,Cadherin 22
Q96JQ0,Domain,2377,2482,Cadherin 23
Q96JQ0,Domain,2483,2602,Cadherin 24
Q96JQ0,Domain,2603,2706,Cadherin 25
Q96JQ0,Domain,2707,2813,Cadherin 26
Q96JQ0,Domain,2814,2933,Cadherin 27
P15941,Repeat,61,80,1
P15941,Repeat,81,100,2
P15941,Repeat,101,120,3
P15941,Repeat,121,140,4
P15941,Repeat,141,160,5
P15941,Repeat,161,180,6
P15941,Repeat,181,200,7
P15941,Repeat,201,220,8
P15941,Repeat,221,240,9
P15941,Repeat,241,260,10
P15941,Repeat,261,280,11
P15941,Repeat,281,300,12
P15941,Repeat,301,320,13
P15941,Repeat,321,340,14
P15941,Repeat,341,360,15
P15941,Repeat,361,380,16
P15941,Repeat,381,400,17
P15941,Repeat,401,420,18
P15941,Repeat,421,440,19
P15941,Repeat,441,460,20
P15941,Repeat,461,480,21
P15941,Repeat,481,500,22
P15941,Repeat,501,520,23
P15941,Repeat,521,540,24
P15941,Repeat,541,560,25
P15941,Repeat,561,580,26
P15941,Repeat,581,600,27
P15941,Repeat,601,620,28
P15941,Repeat,621,640,29
P15941,Repeat,641,660,30
P15941,Repeat,661,680,31
P15941,Repeat,681,700,32
P15941,Repeat,701,720,33
P15941,Repeat,721,740,34
P15941,Repeat,741,760,35
P15941,Repeat,761,780,36
P15941,Repeat,781,800,37
P15941,Repeat,801,820,38
P15941,Repeat,821,840,39
P15941,Repeat,841,860,40
P15941,Repeat,861,880,41
P15941,Repeat,881,900,42
P15941,Repeat,901,920,43
P15941,Repeat,921,940,44
P15941,Repeat,941,960,45
P15941,Repeat,961,980,46
P15941,Repeat,981,1000,47
P15941,Repeat,1001,1020,48
P15941,Domain,1039,1148,SEA
P16284,Domain,35,121,Ig-like C2-type 1
P16284,Domain,145,233,Ig-like C2-type 2
P16284,Domain,236,315,Ig-like C2-type 3
P16284,Domain,328,401,Ig-like C2-type 4
P16284,Domain,424,493,Ig-like C2-type 5
P16284,Domain,499,591,Ig-like C2-type 6
Q07954,Domain,25,66,LDL-receptor class A 1
Q07954,Domain,70,110,LDL-receptor class A 2
Q07954,Domain,111,149,EGF-like 1
Q07954,Domain,150,189,EGF-like calcium-binding
Q07954,Repeat,292,334,LDL-receptor class B 1
Q07954,Repeat,335,378,LDL-receptor class B 2
Q07954,Repeat,379,422,LDL-receptor class B 3
Q07954,Domain,474,520,EGF-like 3
Q07954,Repeat,571,613,LDL-receptor class B 4
Q07954,Repeat,614,659,LDL-receptor class B 5
Q07954,Repeat,660,710,LDL-receptor class B 6
Q07954,Repeat,711,754,LDL-receptor class B 7
Q07954,Domain,803,843,EGF-like 4
Q07954,Domain,852,892,LDL-receptor class A 3
Q07954,Domain,893,933,LDL-receptor class A 4
Q07954,Domain,934,973,LDL-receptor class A 5
Q07954,Domain,974,1013,LDL-receptor class A 6
Q07954,Domain,1013,1053,LDL-receptor class A 7
Q07954,Domain,1060,1099,LDL-receptor class A 8
Q07954,Domain,1102,1142,LDL-receptor class A 9
Q07954,Domain,1143,1182,LDL-receptor class A 10
Q07954,Domain,1183,1222,EGF-like 5
Q07954,Domain,1223,1262,EGF-like 6
Q07954,Repeat,1309,1355,LDL-receptor class B 8
Q07954,Repeat,1356,1398,LDL-receptor class B 9
Q07954,Repeat,1399,1445,LDL-receptor class B 10
Q07954,Repeat,1446,1490,LDL-receptor class B 11
Q07954,Repeat,1491,1531,LDL-receptor class B 12
Q07954,Domain,1536,1579,EGF-like 7
Q07954,Repeat,1627,1669,LDL-receptor class B 13
Q07954,Repeat,1670,1713,LDL-receptor class B 14
Q07954,Repeat,1714,1753,LDL-receptor class B 15
Q07954,Repeat,1754,1798,LDL-receptor class B 16
Q07954,Domain,1846,1887,EGF-like 8
Q07954,Repeat,1934,1976,LDL-receptor class B 17
Q07954,Repeat,1977,2019,LDL-receptor class B 18
Q07954,Repeat,2020,2063,LDL-receptor class B 19
Q07954,Repeat,2064,2107,LDL-receptor class B 20
Q07954,Domain,2155,2195,EGF-like 9
Q07954,Repeat,2253,2294,LDL-receptor class B 21
Q07954,Repeat,2295,2343,LDL-receptor class B 22
Q07954,Repeat,2344,2388,LDL-receptor class B 23
Q07954,Repeat,2389,2431,LDL-receptor class B 24
Q07954,Repeat,2432,2473,LDL-receptor class B 25
Q07954,Domain,2478,2518,EGF-like 10
Q07954,Domain,2522,2563,LDL-receptor class A 11
Q07954,Domain,2564,2602,LDL-receptor class A 12
Q07954,Domain,2603,2641,LDL-receptor class A 13
Q07954,Domain,2642,2690,LDL-receptor class A 14
Q07954,Domain,2694,2732,LDL-receptor class A 15
Q07954,Domain,2732,2771,LDL-receptor class A 16
Q07954,Domain,2772,2814,LDL-receptor class A 17
Q07954,Domain,2816,2855,LDL-receptor class A 18
Q07954,Domain,2856,2899,LDL-receptor class A 19
Q07954,Domain,2902,2940,LDL-receptor class A 20
Q07954,Domain,2941,2981,EGF-like 11
Q07954,Domain,2982,3022,EGF-like 12
Q07954,Repeat,3069,3113,LDL-receptor class B 26
Q07954,Repeat,3114,3156,LDL-receptor class B 27
Q07954,Repeat,3157,3200,LDL-receptor class B 28
Q07954,Repeat,3201,3243,LDL-receptor class B 29
Q07954,Repeat,3244,3284,LDL-receptor class B 30
Q07954,Domain,3290,3331,EGF-like 13
Q07954,Domain,3332,3371,LDL-receptor class A 21
Q07954,Domain,3372,3410,LDL-receptor class A 22
Q07954,Domain,3411,3450,LDL-receptor class A 23
Q07954,Domain,3451,3491,LDL-receptor class A 24
Q07954,Domain,3492,3533,LDL-receptor class A 25
Q07954,Domain,3534,3572,LDL-receptor class A 26
Q07954,Domain,3573,3611,LDL-receptor class A 27
Q07954,Domain,3611,3649,LDL-receptor class A 28
Q07954,Domain,3652,3692,LDL-receptor class A 29
Q07954,Domain,3693,3733,LDL-receptor class A 30
Q07954,Domain,3739,3778,LDL-receptor class A 31
Q07954,Domain,3781,3823,EGF-like 14
Q07954,Domain,3824,3861,EGF-like 15
Q07954,Repeat,3912,3954,LDL-receptor class B 31
Q07954,Repeat,3970,4012,LDL-receptor class B 32
Q07954,Repeat,4013,4056,LDL-receptor class B 33
Q07954,Repeat,4057,4101,LDL-receptor class B 34
Q07954,Domain,4147,4183,EGF-like 16
Q07954,Domain,4196,4232,EGF-like 17
Q07954,Domain,4232,4268,EGF-like 18
Q07954,Domain,4268,4304,EGF-like 19
Q07954,Domain,4304,4340,EGF-like 20
Q07954,Domain,4340,4375,EGF-like 21
Q07954,Domain,4373,4409,EGF-like 22
Q92932,Domain,745,1005,Tyrosine-protein phosphatase
O60602,Repeat,45,68,LRR 1
O60602,Repeat,71,93,LRR 2
O60602,Repeat,95,117,LRR 3
O60602,Repeat,120,143,LRR 4
O60602,Repeat,146,166,LRR 5
O60602,Repeat,171,192,LRR 6
O60602,Repeat,197,211,LRR 7
O60602,Repeat,214,229,LRR 8
O60602,Repeat,234,235,LRR 9
O60602,Repeat,260,284,LRR 11
O60602,Repeat,289,301,LRR 12
O60602,Repeat,313,334,LRR 13
O60602,Repeat,337,355,LRR 14
O60602,Repeat,385,401,LRR 16
O60602,Repeat,412,431,LRR 17
O60602,Repeat,449,470,LRR 18
O60602,Repeat,474,495,LRR 19
O60602,Repeat,503,524,LRR 20
O60602,Repeat,527,546,LRR 21
O60602,Repeat,549,567,LRR 22
O60602,Domain,579,631,LRRCT
O60602,Domain,691,837,TIR
O00206,Repeat,55,76,LRR 1
O00206,Repeat,79,100,LRR 2
O00206,Repeat,103,124,LRR 3
O00206,Repeat,127,148,LRR 4
O00206,Repeat,151,172,LRR 5
O00206,Repeat,176,199,LRR 6
O00206,Repeat,205,225,LRR 7
O00206,Repeat,227,247,LRR 8
O00206,Repeat,331,351,LRR 9
O00206,Repeat,352,373,LRR 10
O00206,Repeat,374,394,LRR 11
O00206,Repeat,400,422,LRR 12
O00206,Repeat,423,444,LRR 13
O00206,Repeat,448,456,LRR 14
O00206,Repeat,472,495,LRR 15
O00206,Repeat,497,518,LRR 16
O00206,Repeat,521,542,LRR 17
O00206,Repeat,545,565,LRR 18
O00206,Domain,579,629,LRRCT
O00206,Domain,672,818,TIR
P05107,Domain,124,363,VWFA
P05107,Repeat,449,496,I
P05107,Repeat,497,540,II
P05107,Repeat,541,581,III
P05107,Repeat,582,617,IV
P55283,Domain,170,277,Cadherin 1
P55283,Domain,278,392,Cadherin 2
P55283,Domain,393,507,Cadherin 3
P55283,Domain,508,613,Cadherin 4
P55283,Domain,614,724,Cadherin 5
P16109,Domain,58,158,C-type lectin
P16109,Domain,159,195,EGF-like
P16109,Domain,198,259,Sushi 1
P16109,Domain,260,321,Sushi 2
P16109,Domain,322,383,Sushi 3
P16109,Domain,384,445,Sushi 4
P16109,Domain,446,507,Sushi 5
P16109,Domain,508,569,Sushi 6
P16109,Domain,570,631,Sushi 7
P16109,Domain,640,701,Sushi 8
P16109,Domain,702,763,Sushi 9
P06213,Domain,624,726,Fibronectin type-III 1
P06213,Domain,757,842,Fibronectin type-III 2
P06213,Domain,853,947,Fibronectin type-III 3
P06213,Domain,1023,1298,Protein kinase
Q5IJ48,Domain,67,106,EGF-like 1
Q5IJ48,Domain,108,144,EGF-like 2
Q5IJ48,Domain,146,182,EGF-like 3
Q5IJ48,Domain,184,221,EGF-like 4
Q5IJ48,Domain,223,259,EGF-like 5
Q5IJ48,Domain,261,318,EGF-like 6
Q5IJ48,Domain,320,356,EGF-like 7
Q5IJ48,Domain,358,394,EGF-like 8
Q5IJ48,Domain,396,436,EGF-like 9
Q5IJ48,Domain,431,603,Laminin G-like 1
Q5IJ48,Domain,605,641,EGF-like 10
Q5IJ48,Domain,647,805,Laminin G-like 2
Q5IJ48,Domain,807,843,EGF-like 11
Q5IJ48,Domain,871,1054,Laminin G-like 3
Q5IJ48,Domain,1056,1092,EGF-like 12
Q5IJ48,Domain,1094,1130,EGF-like 13
Q5IJ48,Domain,1134,1171,EGF-like 14
Q5IJ48,Domain,1173,1209,EGF-like 15
Q86YT9,Domain,20,132,Ig-like V-type 1
Q86YT9,Domain,137,250,Ig-like V-type 2
Q6UVK1,Domain,30,192,Laminin G-like 1
Q6UVK1,Domain,202,380,Laminin G-like 2
Q6UVK1,Repeat,428,523,CSPG 1
