Prot1,Prot2,Binding_Score,PDBs
P08581,Q04912,453.591633,P08581_Q04912.pdb
P04234,Q495A1,67.952992,P04234_Q495A1.pdb
P15812,Q14943,13.881197,P15812_Q14943.pdb
P07333,P21802,46.049594,P07333_P21802.pdb
Q92637,P05362,26.209391,Q92637_P05362.pdb
Q9UKF5,Q9H2U9,307.61926,Q9UKF5_Q9H2U9.pdb
Q13651,Q6UWB1,22.018552,Q13651_Q6UWB1.pdb
P01732,P31995,89.397094,P01732_P31995.pdb
Q86WK6,Q9Y5F3,-6.929884,Q86WK6_Q9Y5F3.pdb
P04626,Q495A1,106.004966,P04626_Q495A1.pdb
P05106,O95297,2.057446,P05106_O95297.pdb
P55285,Q9Y5I4,-0.92121,P55285_Q9Y5I4.pdb
Q9H251,Q9Y5H8,-4.699032,Q9H251_Q9Y5H8.pdb
Q9Y5H9,Q9Y5G7,-5.479033,Q9Y5H9_Q9Y5G7.pdb
Q01151,P20701,-4.573047,Q01151_P20701.pdb
P54764,P16871,10.406616,P54764_P16871.pdb
Q9H159,Q9BYE9,-4.394787,Q9H159_Q9BYE9.pdb
Q9NR61,P35968,109.839136,Q9NR61_P35968.pdb
Q9NP60,P19320,57.410585,Q9NP60_P19320.pdb
Q96FE5,P46531,33.540554,Q96FE5_P46531.pdb
Q6GTX8,P19320,23.552133,Q6GTX8_P19320.pdb
P30511,Q29980,61.567239,P30511_Q29980.pdb
P29317,P22607,7.19746,P29317_P22607.pdb
Q13332,P23471,143.222397,Q13332_P23471.pdb
Q15762,P10747,18.22475,Q15762_P10747.pdb
Q15762,Q5VWK5,96.945399,Q15762_Q5VWK5.pdb
P15391,P08575,59.539294,P15391_P08575.pdb
Q9Y5H8,Q9Y5H0,-5.375718,Q9Y5H8_Q9Y5H0.pdb
Q8N3J6,O14511,87.697015,Q8N3J6_O14511.pdb
P56199,Q8IW00,-2.311527,P56199_Q8IW00.pdb
P56199,P09619,208.187124,P56199_P09619.pdb
O75871,Q6Q8B3,135.365945,O75871_Q6Q8B3.pdb
Q99706,Q99706,105.015753,Q99706_Q99706.pdb
Q9Y5E9,O60245,-4.496383,Q9Y5E9_O60245.pdb
O00241,O00241,48.961796,O00241_O00241.pdb
P54764,P16471,37.846229,P54764_P16471.pdb
P55285,Q8TDW7,3.755705,P55285_Q8TDW7.pdb
P12830,Q9Y5G8,0.630938,P12830_Q9Y5G8.pdb
