prot1,prot2,str_score,protpep_score,str_max_score,red_score,ort_score,phy_score,coexp_score,go_score,total_score,final_score,Match,Match2
O14974,O43255,1.8315,7.37,7.37,1.0145,0.6153,2.013,5.6875,0.0,52.67100000000001,50449.3,True,True
B1AK53,A6NIX2,253.71599999999998,0.0,253.71599999999998,0.0,0.0,2.013,5.6875,0.0,2904.78,2904.78,True,True
O00213,O60565,2.3512,4.18666,4.18666,1.7092,0.0,2.416,1.5818,24.11,659.335,659.335,True,True
O15144,O00560,2.0531,3.52956,3.52956,1.0145,0.0,1.5978,18.4426,5.86,618.322,618.322,True,True
A6NIR3,O60733,169.09799999999998,0.0,169.09799999999998,1.1877,0.0,2.416,2.1077,0.0,1022.7,1022.7,True,True
O15079,O43426,0.0,5.43,5.43,0.0,0.0,2.416,1.1757,69.61,1073.66,1073.66,True,True
E5RJM6,O15350,99.2027,0.0,99.2027,2.3254,0.0,2.416,2.7714,0.0,1544.6,1544.6,True,True
O00270,O60431,119.281,0.0,119.281,1.1877,0.0,2.013,5.6875,0.89,1443.55,1443.55,True,True
O43390,O14530,7.7952,2.59,7.7952,3.8142,0.6153,2.013,18.4426,0.0,679.178,679.178,True,True
O00116,O15228,1.6435,0.0,1.6435,0.0,0.6153,2.416,18.4426,5.86,264.04200000000003,1221360.0,True,True
O15143,O14965,5.0295,4.0871,5.0295,2.3254,0.6153,2.416,3.9008,2.07,140.388,134466.0,True,True
O43390,O00443,17.9896,0.0,17.9896,3.8142,0.6153,2.416,18.4426,0.0,1881.18,1881.18,True,True
A8MXD5,O15357,4.5731,20.7326,20.7326,0.0,0.0,2.416,1.1757,24.11,1419.86,1419.86,True,True
O43186,O14543,1.8315,20.686,20.686,2.3254,0.0,2.416,3.9008,5.86,2656.58,2656.58,True,True
O15397,O14662,5.0523,42.1689,42.1689,0.9127,0.0,2.416,18.4426,5.86,10049.3,10049.3,True,True
O15178,O75051,3.2502,0.0,3.2502,0.0,0.0,2.416,1.1757,69.61,642.651,642.651,True,True
O00463,O00635,9.2046,15.870999999999999,15.870999999999999,1.0145,0.0,2.416,2.7714,24.11,2599.26,2599.26,True,True
O43186,A6NNA5,253.71599999999998,0.0,253.71599999999998,0.9127,0.6153,2.416,3.9008,0.0,1342.81,1342.81,True,True
O15547,O75381,0.0,11.4911,11.4911,0.0,0.0,2.416,2.1077,24.11,1410.8,1410.8,True,True
O00541,O00762,1.2142,14.2127,14.2127,1.2535,0.6153,2.013,5.6875,5.86,735.446,735.446,True,True
O14490,O15034,0.0,84.9753,84.9753,1.2535,0.0,2.416,3.9008,0.0,1003.85,1003.85,True,True
A1XBS5,O15111,4.5731,13.23,13.23,2.4090000000000003,9.7902,2.416,1.5818,0.0,1192.44,1192.44,True,True
E9PGG2,O15522,253.71599999999998,0.0,253.71599999999998,2.4183,0.0,1.5978,2.1077,0.0,2066.28,2066.28,True,True
A6NCS4,O60393,168.4,0.0,168.4,1.774,0.0,2.013,3.9008,0.0,2345.81,2345.81,True,True
O15519,O60602,3.8101,17.9174,17.9174,0.0,0.0,2.013,2.7714,10.8,1079.55,1079.55,True,True
